"UF";"Cargo";"Número do candidato";"Nome do candidato";"Nome do candidato (urna)";"Partido";"Coligação";"Turno";"Situação de totalização";"Votos nominais do candidato";"Voto em trânsito";"Votos válidos por abrangência";"% votos válidos";"Data última totalização"
"AC";"Deputado Federal";"4545";"CYLMARA FERNANDES DA ROCHA GRIPP";"MARA ROCHA";"PSDB";"PP / PSDB / PSD / MDB / DEM / SOLIDARIEDADE / PTC / PMN / PR / PTB / PPS";"1";"Eleito";"40047";"0";"424991";"9,42";"07/10/2018 22:38:55"
"AC";"Deputado Federal";"1515";"JESSICA ROJAS SALES";"JÉSSICA SALES";"MDB";"PP / PSDB / PSD / MDB / DEM / SOLIDARIEDADE / PTC / PMN / PR / PTB / PPS";"1";"Eleito";"28717";"0";"424991";"6,76";"07/10/2018 22:38:55"
"AC";"Deputado Federal";"2525";"ALAN RICK MIRANDA";"ALAN RICK";"DEM";"PP / PSDB / PSD / MDB / DEM / SOLIDARIEDADE / PTC / PMN / PR / PTB / PPS";"1";"Eleito";"22263";"0";"424991";"5,24";"07/10/2018 22:38:55"
"AC";"Deputado Federal";"7777";"VANDA DENIR MILANI NOGUEIRA";"DRA. VANDA MILANI";"SOLIDARIEDADE";"PP / PSDB / PSD / MDB / DEM / SOLIDARIEDADE / PTC / PMN / PR / PTB / PPS";"1";"Eleito";"22219";"0";"424991";"5,23";"07/10/2018 22:38:55"
"AC";"Deputado Federal";"1555";"FLAVIANO FLAVIO BAPTISTA DE MELO";"FLAVIANO MELO";"MDB";"PP / PSDB / PSD / MDB / DEM / SOLIDARIEDADE / PTC / PMN / PR / PTB / PPS";"1";"Eleito";"18723";"0";"424991";"4,41";"07/10/2018 22:38:55"
"AC";"Deputado Federal";"6513";"MARIA PERPETUA DE ALMEIDA ";"PERPETUA ALMEIDA ";"PC do B";"PT / PSB / PHS / PC do B / DC";"1";"Eleito";"18374";"0";"424991";"4,32";"07/10/2018 22:38:55"
"AC";"Deputado Federal";"1212";"JESUS SERGIO DE MENEZES";"JESUS SÉRGIO";"PDT";"PDT";"1";"Eleito";"9537";"0";"424991";"2,24";"07/10/2018 22:38:55"
"AC";"Deputado Federal";"1010";"MANUEL MARCOS CARVALHO DE MESQUITA";"PASTOR MANUEL MARCOS";"PRB";"PSOL / PV / PPL / PRP / PRB / PODE / PROS / PMB";"1";"Eleito";"7489";"0";"424991";"1,76";"07/10/2018 22:38:55"
"AL";"Deputado Federal";"4040";"JOÃO HENRIQUE HOLANDA CALDAS";"JHC";"PSB";"PTC / PSDB / PP / PSB / PSC / PROS / PRB / DEM";"1";"Eleito";"178645";"0";"1458674";"12,25";"07/10/2018 23:52:30"
"AL";"Deputado Federal";"1111";"ARTHUR CESAR PEREIRA DE LIRA";"ARTHUR LIRA";"PP";"PTC / PSDB / PP / PSB / PSC / PROS / PRB / DEM";"1";"Eleito";"143858";"0";"1458674";"9,86";"07/10/2018 23:52:30"
